o,o,x,x,x,x,x,x,x,x,x,x,o,o,o,o,o,o,o,o,o,o,o
o,,x,,,,,,,,,x,,,,,,,,,,,o
o,,x,,,,,,,,,x,,,,,,,,,,,o
o,,x,,,,,,,,,x,,,,,,,,,,,o
o,,x,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,o
o,,x,,,,,,,,,w2,w2,w2,w2,w2,w2,w2,w2,w2,x,,o
o,,x,,,,,,,,,,,,,,,,,,x,,o
o,,x,,,,,,,,,,,,,,,,,,x,,o
o,,x,,,,,,,x,x,x,,,,,,x,x,x,x,x,x
o,,x,,,,,,,,,,,,,,,,,,,x,x
o,,x,,,,,,,,,,,,,,,,,,,x,x
x,x,x,x,x,x,x,,,,,,,,,,,,,,,x,x
x,w1,,,,,,,,,,,,,,,,,,,,x,x
x,w1,,,,,,,,,,,,,,,,,,,,x,x
x,,,,,,,,,,,s,,,,,,,,,,w3,x
x,,,,,,,,,,,,,,,s,,,,,,w3,x
x,,,,,,,,,,,,,,,,,,,,,w3,x
x,w1,,x,,,,,,,,,,,,,,,,,,w3,x
x,w1,,x,,,,,,,,,,,,,,,,,,w3,x
x,w1,,x,,,,,,,,,,,,,,,,x,,w3,x
x,w1,,x,,,,,,,,,,,,,,,,x,,w3,x
x,w1,,x,,,,,,,,,,,,,,,,x,,w3,x
x,w1,,x,,,,,,,,,,,,,,,,,,w3,x
x,,,,,,,,,,,,,,,,,,,,,w3,x
x,,,,,,,,,,,,,,,,,,,,,w3,x
x,,,,w,,,,,,,,,,,,,,,x,,w3,x
x,,,,x,w1,,,,,,,,,,,,,,x,,w3,x
x,,,,x,w1,,,,,,,,,,,,,,x,,w3,x
x,,,,x,w1,,,,,,,,,,,,,,,,w3,x
x,,d,,x,w1,,,,,,,,,,,,,,,,w3,x
x,,,,x,w1,,,,,,,,,x,x,x,,,,,w3,x
x,x,x,x,x,w1,,h,,,,,,,,,,,,,,w3,x
o,,,,x,w1,,,,,,,,,,,,,,,,w3,x
o,,,,x,w1,,,,,x,x,x,,,,,,,,,w3,x
o,,,,x,w1,,,,,,,,,,,,,,,,w3,x
o,,,,x,w1,,,,,,,,,,,,,,,,w3,x
o,o,o,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
